,Z-Normalized,Ours (1),Ours (2),Ours (5),Ours(10),Ours (combined),"Ours (FordA, 5)",,HIVE-COTE,ST,BOSS,EE,DTW,FCN,TimeNet,RWS
OSULeaf,Y,0.74,0.785,0.752,0.773,0.814,0.711,,0.979,0.967,0.955,0.806,0.591,0.988,,
PhalangesOutlinesCorrect,Y,0.789,0.79,0.762,0.798,0.808,0.819,,0.807,0.763,0.772,0.773,0.728,,0.772,
Phoneme,Y,0.251,0.253,0.248,0.255,0.272,0.225,,0.382,0.321,0.265,0.305,0.228,,,
Plane,Y,1,1,1,1,1,0.99,,1,1,1,1,1,,,
ProximalPhalanxOutlineCorrect,Y,0.863,0.907,0.859,0.866,0.89,0.904,,0.88,0.883,0.849,0.808,0.784,,X,0.711
ProximalPhalanxOutlineAgeGroup,Y,0.844,0.844,0.829,0.868,0.839,0.844,,0.859,0.844,0.834,0.805,0.805,,X,X
ProximalPhalanxTW,Y,0.78,0.79,0.78,0.776,0.81,0.771,,0.815,0.805,0.8,0.766,0.761,,X,
RefrigerationDevices,Y,0.541,0.576,0.493,0.461,0.515,0.528,,0.557,0.581,0.499,0.437,0.464,,,
ScreenType,Y,0.485,0.475,0.411,0.483,0.491,0.411,,0.589,0.52,0.464,0.445,0.397,,,
ShapeletSim,Y,0.606,0.557,0.822,0.639,0.75,0.644,,1,0.956,1,0.817,0.65,,,
ShapesAll,Y,0.837,0.857,0.832,0.853,0.865,0.815,,0.905,0.842,0.908,0.867,0.768,,,
SmallKitchenAppliances,Y,0.733,0.709,0.637,0.701,0.717,0.728,,0.853,0.792,0.725,0.696,0.643,,,
SonyAIBORobotSurface1,Y,0.877,0.827,0.894,0.857,0.895,0.762,,0.765,0.844,0.632,0.704,0.725,0.968,,
SonyAIBORobotSurface2,Y,0.92,0.924,0.941,0.836,0.94,0.845,,0.928,0.934,0.859,0.878,0.831,0.962,,
StarlightCurves,Y,0.959,0.958,0.963,0.954,0.964,0.96,,0.982,0.979,0.978,0.926,0.907,0.967,,
Strawberry,Y,0.957,0.957,0.949,0.943,0.957,0.962,,0.97,0.962,0.976,0.946,0.941,,0.93,
SwedishLeaf,Y,0.923,0.916,0.933,0.912,0.939,0.909,,0.954,0.928,0.922,0.915,0.792,0.966,0.901,
Symbols,Y,0.954,0.96,0.957,0.949,0.954,0.954,,0.974,0.882,0.967,0.96,0.95,0.962,,
SyntheticControl,Y,0.983,0.983,0.993,0.987,0.987,0.96,,0.997,0.983,0.967,0.99,0.993,0.99,0.983,
ToeSegmentation1,Y,0.925,0.908,0.947,0.961,0.947,0.947,,0.982,0.965,0.939,0.829,0.772,,,
ToeSegmentation2,Y,0.9,0.877,0.885,0.823,0.908,0.938,,0.954,0.908,0.962,0.892,0.838,,,
Trace,Y,1,1,1,1,1,1,,1,1,1,0.99,1,1,,
TwoLeadECG,Y,0.996,0.985,0.975,0.996,0.989,0.98,,0.996,0.997,0.981,0.971,0.905,1,,
TwoPatterns,Y,1,1,1,1,1,0.969,,1,0.955,0.993,1,1,0.897,0.999,0.999
UWaveGestureLibraryX,Y,0.788,0.801,0.8,0.801,0.81,0.76,,0.84,0.803,0.762,0.805,0.728,0.754,,
UWaveGestureLibraryY,Y,0.728,0.714,0.721,0.711,0.741,0.657,,0.765,0.73,0.685,0.726,0.634,0.725,,
UWaveGestureLibraryZ,Y,0.749,0.752,0.752,0.74,0.766,0.697,,0.783,0.748,0.695,0.724,0.658,0.729,,
UWaveGestureLibraryAll,Y,0.91,0.889,0.899,0.891,0.927,0.807,,0.968,0.942,0.939,0.968,0.892,,,
Wafer,Y,0.994,0.994,0.994,0.994,0.996,0.992,,0.999,1,0.995,0.997,0.98,0.997,0.994,0.993
Wine,Y,0.815,0.759,0.722,0.907,0.815,0.759,,0.778,0.796,0.741,0.574,0.574,,,
WordSynonyms,Y,0.654,0.654,0.687,0.663,0.691,0.567,,0.738,0.571,0.638,0.779,0.649,0.58,,
Worms,Y,0.584,0.701,0.649,0.623,0.74,0.597,,0.558,0.74,0.558,0.662,0.584,,,
WormsTwoClass,Y,0.597,0.688,0.831,0.753,0.74,0.623,,0.779,0.831,0.831,0.688,0.623,,,
Yoga,Y,0.836,0.853,0.848,0.851,0.87,0.788,,0.918,0.818,0.918,0.879,0.837,0.845,0.866,
ACSF1,Y,0.79,0.84,0.86,0.8,0.87,0.68,,,,,,0.64,,,
AllGestureWiimoteX,N,0.691,0.689,0.686,0.723,0.733,0.679,,,,,,0.716,,,
AllGestureWiimoteY,N,0.75,0.759,0.74,0.754,0.77,0.71,,,,,,0.729,,,
AllGestureWiimoteZ,N,0.701,0.704,0.713,0.711,0.734,0.657,,,,,,0.643,,,
BME,N,0.98,0.967,0.967,0.993,0.987,0.98,,,,,,0.9,,,
Chinatown,N,0.974,0.959,0.962,0.951,0.959,0.98,,,,,,0.957,,,
Crop,N,0.732,0.721,0.719,0.73,0.747,0.719,,,,,,0.665,,,
DodgerLoopDay,,,,,,,,,,,,,0.5,,,
DodgerLoopGame,,,,,,,,,,,,,0.877,,,
DodgerLoopWeekend,,,,,,,,,,,,,0.949,,,
EOGHorizontalSignal,N,0.522,0.552,0.575,0.566,0.569,0.478,,,,,,0.503,,,
EOGVerticalSignal,N,0.428,0.398,0.401,0.376,0.403,0.414,,,,,,0.448,,,
EthanolLevel,Y,0.54,0.596,0.584,0.482,0.588,0.318,,,,,,0.276,,,
FreezerRegularTrain,Y,0.984,0.992,0.989,0.998,0.988,0.989,,,,,,0.899,,,
FreezerSmallTrain,Y,0.925,0.962,0.973,0.927,0.957,0.921,,,,,,0.753,,,
Fungi,N,1,0.995,0.995,0.989,0.995,0.984,,,,,,0.839,,,
GestureMidAirD1,N,0.615,0.654,0.677,0.654,0.646,0.546,,,,,,0.569,,,
